Imputer | Scaler | Balancing | Params || Macro F1 | Recall C1 | Recall C2
--------------------------------------------------------------------------------
KNN | StdScaler | ClassWeight | Default || F1: 0.486 | Rec0: 0.692 | Rec1: 0.161 | Rec2: 0.712
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=200, subsample=0.8, colsample_bytree=0.8 || F1: 0.422 | Rec0: 0.347 | Rec1: 0.368 | Rec2: 0.878
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=200, subsample=0.8, colsample_bytree=1.0 || F1: 0.414 | Rec0: 0.328 | Rec1: 0.370 | Rec2: 0.882
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=200, subsample=1.0, colsample_bytree=0.8 || F1: 0.420 | Rec0: 0.335 | Rec1: 0.376 | Rec2: 0.882
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=200, subsample=1.0, colsample_bytree=1.0 || F1: 0.414 | Rec0: 0.324 | Rec1: 0.378 | Rec2: 0.882
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=300, subsample=0.8, colsample_bytree=0.8 || F1: 0.430 | Rec0: 0.362 | Rec1: 0.362 | Rec2: 0.883
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=300, subsample=0.8, colsample_bytree=1.0 || F1: 0.426 | Rec0: 0.352 | Rec1: 0.366 | Rec2: 0.884
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=300, subsample=1.0, colsample_bytree=0.8 || F1: 0.426 | Rec0: 0.348 | Rec1: 0.374 | Rec2: 0.882
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=300, subsample=1.0, colsample_bytree=1.0 || F1: 0.421 | Rec0: 0.340 | Rec1: 0.370 | Rec2: 0.883
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=500, subsample=0.8, colsample_bytree=0.8 || F1: 0.440 | Rec0: 0.384 | Rec1: 0.351 | Rec2: 0.884
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=500, subsample=0.8, colsample_bytree=1.0 || F1: 0.437 | Rec0: 0.377 | Rec1: 0.352 | Rec2: 0.890
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=500, subsample=1.0, colsample_bytree=0.8 || F1: 0.435 | Rec0: 0.370 | Rec1: 0.359 | Rec2: 0.886
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.01, n_estimators=500, subsample=1.0, colsample_bytree=1.0 || F1: 0.436 | Rec0: 0.369 | Rec1: 0.362 | Rec2: 0.891
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.05, n_estimators=200, subsample=0.8, colsample_bytree=0.8 || F1: 0.453 | Rec0: 0.429 | Rec1: 0.321 | Rec2: 0.877
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.05, n_estimators=200, subsample=0.8, colsample_bytree=1.0 || F1: 0.452 | Rec0: 0.423 | Rec1: 0.328 | Rec2: 0.876
