LGBM Params || Macro F1 | Recall C0 | Recall C1 | Recall C2
------------------------------------------------------------------------------------------
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.422 | Rec0: 0.347 | Rec1: 0.364 | Rec2: 0.880
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.422 | Rec0: 0.347 | Rec1: 0.364 | Rec2: 0.880
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.425 | Rec0: 0.350 | Rec1: 0.369 | Rec2: 0.880
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.425 | Rec0: 0.350 | Rec1: 0.369 | Rec2: 0.880
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.430 | Rec0: 0.359 | Rec1: 0.363 | Rec2: 0.883
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.430 | Rec0: 0.359 | Rec1: 0.363 | Rec2: 0.883
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.431 | Rec0: 0.362 | Rec1: 0.365 | Rec2: 0.884
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.431 | Rec0: 0.362 | Rec1: 0.365 | Rec2: 0.884
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.441 | Rec0: 0.380 | Rec1: 0.361 | Rec2: 0.889
max_depth=3 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.441 | Rec0: 0.380 | Rec1: 0.361 | Rec2: 0.889
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.440 | Rec0: 0.382 | Rec1: 0.351 | Rec2: 0.891
max_depth=3 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.440 | Rec0: 0.382 | Rec1: 0.351 | Rec2: 0.891
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.426 | Rec0: 0.352 | Rec1: 0.373 | Rec2: 0.871
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.426 | Rec0: 0.352 | Rec1: 0.373 | Rec2: 0.871
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.440 | Rec0: 0.384 | Rec1: 0.352 | Rec2: 0.883
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.440 | Rec0: 0.384 | Rec1: 0.352 | Rec2: 0.883
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.436 | Rec0: 0.361 | Rec1: 0.380 | Rec2: 0.881
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.436 | Rec0: 0.361 | Rec1: 0.380 | Rec2: 0.881
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.447 | Rec0: 0.405 | Rec1: 0.339 | Rec2: 0.883
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.447 | Rec0: 0.405 | Rec1: 0.339 | Rec2: 0.882
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.446 | Rec0: 0.387 | Rec1: 0.364 | Rec2: 0.884
max_depth=5 | num_leaves=7 | learning_rate=0.01 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.446 | Rec0: 0.387 | Rec1: 0.364 | Rec2: 0.884
max_depth=5 | num_leaves=15 | learning_rate=0.01 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.456 | Rec0: 0.438 | Rec1: 0.318 | Rec2: 0.878
